Smiles,Standard Value,Standard Units,Molecule ChEMBL ID,value_nm,LogP,TPSA,MW,pIC50
CN(C)c1nc(N[C@H]2CC[C@@H](NC(=O)c3ccc(F)c(F)c3)CC2)nc2ccccc12,150.0,nM,CHEMBL182150,150.0,4.127100000000002,70.15,425.4830000000002,6.823908740944319
Cc1cnc(N[C@H]2CC[C@@H](NC(=O)c3ccc(Cl)cc3)CC2)nc1N(C)C,760.0,nM,CHEMBL577912,760.0,3.6575200000000025,70.14999999999999,387.9150000000002,6.119186407719209
COC1CCN(c2cc(C(=O)NS(=O)(=O)N(C)C)nc3c2c(C2CCC2)nn3-c2ccc(F)cc2)CC1,8000.0,nM,CHEMBL5421982,8000.0,2.9785000000000013,109.66,530.6260000000002,5.096910013008056
CN(CC1CCCCC1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,4.4,nM,CHEMBL549598,4.4,5.704600000000006,24.3,434.60300000000024,8.356547323513812
CN1CCc2c(c3cc(F)ccc3n2CCc2ccc(C(F)(F)F)cc2)C1,35.0,nM,CHEMBL591803,35.0,5.029800000000004,8.17,376.39700000000005,7.455931955649724
CN(C)CCN(Cc1ccccc1)c1ccccn1,39.81,nM,CHEMBL1241,39.81,2.649800000000001,19.37,255.36500000000004,7.400007822415902
c1nc(CCCCCCCCN2CCCC2)c[nH]1,630.96,nM,CHEMBL152126,630.96,3.388600000000002,31.92,249.40199999999996,6.199998172182031
NCCc1ccccn1,1258.93,nM,CHEMBL32813,1258.93,0.5827999999999998,38.91,122.17099999999996,5.899998417198648
COc1cc(C(=O)N2CCC(CCN3CCC(C(=O)c4nc5ccccc5n4Cc4ccco4)CC3)(c3ccccc3)C2)cc(OC)c1OC,6.53,nM,CHEMBL95127,6.53,6.472300000000008,99.27000000000001,676.8140000000002,8.185086818724926
NCCCCCCCCCCCCc1ccncc1,398.11,nM,CHEMBL157273,398.11,4.483800000000005,38.91,262.441,6.399996913372259
COc1cc(C(=O)N2CCCC(CCN3CCC(C(=O)c4nc5ccccc5n4Cc4ccc(F)cc4)CC3)(c3ccc(Cl)c(Cl)c3)C2)cc(OC)c1OC,6.67,nM,CHEMBL329055,6.67,8.715300000000004,86.13000000000001,787.7599999999998,8.175874166083451
O=C1[C@@H]2[C@H](C(=O)N1CCCCN1CCN(c3cccc4sccc34)CC1)[C@H]1C=C[C@@H]2C1,195.0,nM,CHEMBL4277101,195.0,3.6106000000000025,43.86000000000001,435.5930000000002,6.709965388637482
NC(=O)C1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,9.939,nM,CHEMBL1909072,9.939,4.530100000000004,49.57000000000001,401.96300000000025,8.002657309398378
CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,78.0,nM,CHEMBL914,78.0,5.510500000000006,81.0,501.66700000000014,7.107905397309519
